ResultModel(longCCI=140, shortCCI=5, plus=150, minus=-100, numberOfPositions=1, result=1.3612693938547146658242919800260)
ResultModel(longCCI=145, shortCCI=5, plus=150, minus=-140, numberOfPositions=1, result=1.3612693938547146658242919800260)
ResultModel(longCCI=145, shortCCI=5, plus=150, minus=-135, numberOfPositions=1, result=1.3612693938547146658242919800260)
ResultModel(longCCI=145, shortCCI=5, plus=150, minus=-130, numberOfPositions=1, result=1.3612693938547146658242919800260)
ResultModel(longCCI=145, shortCCI=5, plus=150, minus=-125, numberOfPositions=1, result=1.3612693938547146658242919800260)
ResultModel(longCCI=145, shortCCI=5, plus=150, minus=-120, numberOfPositions=1, result=1.3612693938547146658242919800260)
ResultModel(longCCI=145, shortCCI=5, plus=150, minus=-115, numberOfPositions=1, result=1.3612693938547146658242919800260)
ResultModel(longCCI=145, shortCCI=5, plus=150, minus=-110, numberOfPositions=1, result=1.3612693938547146658242919800260)
ResultModel(longCCI=145, shortCCI=5, plus=150, minus=-105, numberOfPositions=1, result=1.3612693938547146658242919800260)
ResultModel(longCCI=145, shortCCI=5, plus=150, minus=-100, numberOfPositions=1, result=1.3612693938547146658242919800260)
ResultModel(longCCI=150, shortCCI=5, plus=150, minus=-145, numberOfPositions=1, result=1.3612693938547146658242919800260)
ResultModel(longCCI=150, shortCCI=5, plus=150, minus=-140, numberOfPositions=1, result=1.3612693938547146658242919800260)
ResultModel(longCCI=150, shortCCI=5, plus=150, minus=-135, numberOfPositions=1, result=1.3612693938547146658242919800260)
ResultModel(longCCI=150, shortCCI=5, plus=150, minus=-130, numberOfPositions=1, result=1.3612693938547146658242919800260)
ResultModel(longCCI=150, shortCCI=5, plus=150, minus=-125, numberOfPositions=1, result=1.3612693938547146658242919800260)
ResultModel(longCCI=150, shortCCI=5, plus=150, minus=-120, numberOfPositions=1, result=1.3612693938547146658242919800260)
ResultModel(longCCI=150, shortCCI=5, plus=150, minus=-115, numberOfPositions=1, result=1.3612693938547146658242919800260)
ResultModel(longCCI=150, shortCCI=5, plus=150, minus=-110, numberOfPositions=1, result=1.3612693938547146658242919800260)
ResultModel(longCCI=150, shortCCI=5, plus=150, minus=-105, numberOfPositions=1, result=1.3612693938547146658242919800260)
ResultModel(longCCI=150, shortCCI=5, plus=150, minus=-100, numberOfPositions=1, result=1.3612693938547146658242919800260)
ResultModel(longCCI=155, shortCCI=5, plus=150, minus=-150, numberOfPositions=1, result=1.3612693938547146658242919800260)
ResultModel(longCCI=155, shortCCI=5, plus=150, minus=-145, numberOfPositions=1, result=1.3612693938547146658242919800260)
ResultModel(longCCI=155, shortCCI=5, plus=150, minus=-140, numberOfPositions=1, result=1.3612693938547146658242919800260)
ResultModel(longCCI=155, shortCCI=5, plus=150, minus=-135, numberOfPositions=1, result=1.3612693938547146658242919800260)
ResultModel(longCCI=155, shortCCI=5, plus=150, minus=-130, numberOfPositions=1, result=1.3612693938547146658242919800260)
ResultModel(longCCI=155, shortCCI=5, plus=150, minus=-125, numberOfPositions=1, result=1.3612693938547146658242919800260)
ResultModel(longCCI=155, shortCCI=5, plus=150, minus=-120, numberOfPositions=1, result=1.3612693938547146658242919800260)
ResultModel(longCCI=155, shortCCI=5, plus=150, minus=-115, numberOfPositions=1, result=1.3612693938547146658242919800260)
ResultModel(longCCI=155, shortCCI=5, plus=150, minus=-110, numberOfPositions=1, result=1.3612693938547146658242919800260)
ResultModel(longCCI=155, shortCCI=5, plus=150, minus=-105, numberOfPositions=1, result=1.3612693938547146658242919800260)
ResultModel(longCCI=155, shortCCI=5, plus=150, minus=-100, numberOfPositions=1, result=1.3612693938547146658242919800260)
ResultModel(longCCI=160, shortCCI=5, plus=150, minus=-150, numberOfPositions=1, result=1.3612693938547146658242919800260)
ResultModel(longCCI=160, shortCCI=5, plus=150, minus=-145, numberOfPositions=1, result=1.3612693938547146658242919800260)
ResultModel(longCCI=160, shortCCI=5, plus=150, minus=-140, numberOfPositions=1, result=1.3612693938547146658242919800260)
ResultModel(longCCI=160, shortCCI=5, plus=150, minus=-135, numberOfPositions=1, result=1.3612693938547146658242919800260)
ResultModel(longCCI=160, shortCCI=5, plus=150, minus=-130, numberOfPositions=1, result=1.3612693938547146658242919800260)
ResultModel(longCCI=160, shortCCI=5, plus=150, minus=-125, numberOfPositions=1, result=1.3612693938547146658242919800260)
ResultModel(longCCI=160, shortCCI=5, plus=150, minus=-120, numberOfPositions=1, result=1.3612693938547146658242919800260)
ResultModel(longCCI=160, shortCCI=5, plus=150, minus=-115, numberOfPositions=1, result=1.3612693938547146658242919800260)
ResultModel(longCCI=160, shortCCI=5, plus=150, minus=-110, numberOfPositions=1, result=1.3612693938547146658242919800260)
ResultModel(longCCI=160, shortCCI=5, plus=150, minus=-105, numberOfPositions=1, result=1.3612693938547146658242919800260)
ResultModel(longCCI=160, shortCCI=5, plus=150, minus=-100, numberOfPositions=1, result=1.3612693938547146658242919800260)
ResultModel(longCCI=165, shortCCI=5, plus=150, minus=-150, numberOfPositions=1, result=1.3612693938547146658242919800260)
ResultModel(longCCI=165, shortCCI=5, plus=150, minus=-145, numberOfPositions=1, result=1.3612693938547146658242919800260)
ResultModel(longCCI=165, shortCCI=5, plus=150, minus=-140, numberOfPositions=1, result=1.3612693938547146658242919800260)
ResultModel(longCCI=165, shortCCI=5, plus=150, minus=-135, numberOfPositions=1, result=1.3612693938547146658242919800260)
ResultModel(longCCI=165, shortCCI=5, plus=150, minus=-130, numberOfPositions=1, result=1.3612693938547146658242919800260)
ResultModel(longCCI=165, shortCCI=5, plus=150, minus=-125, numberOfPositions=1, result=1.3612693938547146658242919800260)
ResultModel(longCCI=165, shortCCI=5, plus=150, minus=-120, numberOfPositions=1, result=1.3612693938547146658242919800260)
ResultModel(longCCI=165, shortCCI=5, plus=150, minus=-115, numberOfPositions=1, result=1.3612693938547146658242919800260)
ResultModel(longCCI=165, shortCCI=5, plus=150, minus=-110, numberOfPositions=1, result=1.3612693938547146658242919800260)
ResultModel(longCCI=165, shortCCI=5, plus=150, minus=-105, numberOfPositions=1, result=1.3612693938547146658242919800260)
ResultModel(longCCI=165, shortCCI=5, plus=150, minus=-100, numberOfPositions=1, result=1.3612693938547146658242919800260)
ResultModel(longCCI=170, shortCCI=5, plus=150, minus=-150, numberOfPositions=1, result=1.3612693938547146658242919800260)
ResultModel(longCCI=170, shortCCI=5, plus=150, minus=-145, numberOfPositions=1, result=1.3612693938547146658242919800260)
ResultModel(longCCI=170, shortCCI=5, plus=150, minus=-140, numberOfPositions=1, result=1.3612693938547146658242919800260)
ResultModel(longCCI=170, shortCCI=5, plus=150, minus=-135, numberOfPositions=1, result=1.3612693938547146658242919800260)
ResultModel(longCCI=170, shortCCI=5, plus=150, minus=-130, numberOfPositions=1, result=1.3612693938547146658242919800260)
ResultModel(longCCI=170, shortCCI=5, plus=150, minus=-125, numberOfPositions=1, result=1.3612693938547146658242919800260)
ResultModel(longCCI=170, shortCCI=5, plus=150, minus=-120, numberOfPositions=1, result=1.3612693938547146658242919800260)
ResultModel(longCCI=170, shortCCI=5, plus=150, minus=-115, numberOfPositions=1, result=1.3612693938547146658242919800260)
ResultModel(longCCI=170, shortCCI=5, plus=150, minus=-110, numberOfPositions=1, result=1.3612693938547146658242919800260)
ResultModel(longCCI=170, shortCCI=5, plus=150, minus=-105, numberOfPositions=1, result=1.3612693938547146658242919800260)
ResultModel(longCCI=170, shortCCI=5, plus=150, minus=-100, numberOfPositions=1, result=1.3612693938547146658242919800260)
ResultModel(longCCI=175, shortCCI=5, plus=150, minus=-150, numberOfPositions=1, result=1.3612693938547146658242919800260)
ResultModel(longCCI=175, shortCCI=5, plus=150, minus=-145, numberOfPositions=1, result=1.3612693938547146658242919800260)
ResultModel(longCCI=175, shortCCI=5, plus=150, minus=-140, numberOfPositions=1, result=1.3612693938547146658242919800260)
ResultModel(longCCI=175, shortCCI=5, plus=150, minus=-135, numberOfPositions=1, result=1.3612693938547146658242919800260)
ResultModel(longCCI=175, shortCCI=5, plus=150, minus=-130, numberOfPositions=1, result=1.3612693938547146658242919800260)
ResultModel(longCCI=175, shortCCI=5, plus=150, minus=-125, numberOfPositions=1, result=1.3612693938547146658242919800260)
ResultModel(longCCI=175, shortCCI=5, plus=150, minus=-120, numberOfPositions=1, result=1.3612693938547146658242919800260)
ResultModel(longCCI=175, shortCCI=5, plus=150, minus=-115, numberOfPositions=1, result=1.3612693938547146658242919800260)
ResultModel(longCCI=175, shortCCI=5, plus=150, minus=-110, numberOfPositions=1, result=1.3612693938547146658242919800260)
ResultModel(longCCI=175, shortCCI=5, plus=150, minus=-105, numberOfPositions=1, result=1.3612693938547146658242919800260)
ResultModel(longCCI=175, shortCCI=5, plus=150, minus=-100, numberOfPositions=1, result=1.3612693938547146658242919800260)
ResultModel(longCCI=180, shortCCI=5, plus=150, minus=-150, numberOfPositions=1, result=1.3612693938547146658242919800260)
ResultModel(longCCI=180, shortCCI=5, plus=150, minus=-145, numberOfPositions=1, result=1.3612693938547146658242919800260)
ResultModel(longCCI=180, shortCCI=5, plus=150, minus=-140, numberOfPositions=1, result=1.3612693938547146658242919800260)
ResultModel(longCCI=180, shortCCI=5, plus=150, minus=-135, numberOfPositions=1, result=1.3612693938547146658242919800260)
