ResultModel(adx=62, sma=9, over=9, numberOfPositions=13, result=1.2902280779611519770172786565250)
ResultModel(adx=63, sma=9, over=8, numberOfPositions=13, result=1.2890530646972806906347434761004)
ResultModel(adx=63, sma=9, over=9, numberOfPositions=13, result=1.2890530646972806906347434761004)
ResultModel(adx=61, sma=9, over=9, numberOfPositions=14, result=1.2830094651769473882888645518744)
ResultModel(adx=59, sma=9, over=9, numberOfPositions=15, result=1.2779709800897420844827718233740)
ResultModel(adx=60, sma=9, over=9, numberOfPositions=15, result=1.2779709800897420844827718233740)
ResultModel(adx=62, sma=7, over=9, numberOfPositions=14, result=1.2527434107661342247463460936191)
ResultModel(adx=62, sma=8, over=9, numberOfPositions=14, result=1.2527434107661342247463460936191)
ResultModel(adx=63, sma=7, over=9, numberOfPositions=14, result=1.2516025348628570029703390343136)
ResultModel(adx=63, sma=8, over=9, numberOfPositions=14, result=1.2516025348628570029703390343136)
ResultModel(adx=59, sma=8, over=9, numberOfPositions=15, result=1.2497703754689614618903225857843)
ResultModel(adx=60, sma=8, over=9, numberOfPositions=15, result=1.2497703754689614618903225857843)
ResultModel(adx=61, sma=7, over=9, numberOfPositions=15, result=1.2457345184975869900004722437420)
ResultModel(adx=61, sma=8, over=9, numberOfPositions=15, result=1.2457345184975869900004722437420)
ResultModel(adx=60, sma=7, over=9, numberOfPositions=16, result=1.2448624230569635611493574647965)
ResultModel(adx=59, sma=7, over=9, numberOfPositions=17, result=1.2423474175056979511420502330176)
ResultModel(adx=71, sma=7, over=9, numberOfPositions=13, result=1.2391286154474508731049166964839)
ResultModel(adx=71, sma=9, over=8, numberOfPositions=13, result=1.2391286154474508731049166964839)
ResultModel(adx=71, sma=9, over=9, numberOfPositions=13, result=1.2391286154474508731049166964839)
ResultModel(adx=63, sma=9, over=6, numberOfPositions=16, result=1.2385246340276468480060675101151)
ResultModel(adx=62, sma=9, over=6, numberOfPositions=17, result=1.2381399704585489070282858264618)
ResultModel(adx=71, sma=8, over=9, numberOfPositions=14, result=1.2363059990113518961730148361277)
ResultModel(adx=64, sma=9, over=8, numberOfPositions=14, result=1.2349457879803607650681424961562)
ResultModel(adx=64, sma=9, over=9, numberOfPositions=14, result=1.2349457879803607650681424961562)
ResultModel(adx=66, sma=9, over=8, numberOfPositions=15, result=1.2335616419142312401895007746220)
ResultModel(adx=66, sma=9, over=9, numberOfPositions=15, result=1.2335616419142312401895007746220)
ResultModel(adx=65, sma=9, over=8, numberOfPositions=15, result=1.2324382348858068393849568263929)
ResultModel(adx=65, sma=9, over=9, numberOfPositions=15, result=1.2324382348858068393849568263929)
ResultModel(adx=68, sma=9, over=8, numberOfPositions=14, result=1.2293181775873637809675480034427)
ResultModel(adx=68, sma=9, over=9, numberOfPositions=14, result=1.2293181775873637809675480034427)
ResultModel(adx=70, sma=7, over=9, numberOfPositions=14, result=1.2292475799141410116242488900561)
ResultModel(adx=70, sma=9, over=8, numberOfPositions=14, result=1.2292475799141410116242488900561)
ResultModel(adx=70, sma=9, over=9, numberOfPositions=14, result=1.2292475799141410116242488900561)
ResultModel(adx=63, sma=9, over=1, numberOfPositions=17, result=1.2285245846500312783600855056974)
ResultModel(adx=63, sma=9, over=2, numberOfPositions=17, result=1.2285245846500312783600855056974)
ResultModel(adx=63, sma=9, over=3, numberOfPositions=17, result=1.2285245846500312783600855056974)
ResultModel(adx=63, sma=9, over=4, numberOfPositions=17, result=1.2285245846500312783600855056974)
ResultModel(adx=63, sma=9, over=5, numberOfPositions=17, result=1.2285245846500312783600855056974)
ResultModel(adx=62, sma=9, over=1, numberOfPositions=18, result=1.2281430269171670827191459588439)
ResultModel(adx=62, sma=9, over=2, numberOfPositions=18, result=1.2281430269171670827191459588439)
ResultModel(adx=62, sma=9, over=3, numberOfPositions=18, result=1.2281430269171670827191459588439)
ResultModel(adx=62, sma=9, over=4, numberOfPositions=18, result=1.2281430269171670827191459588439)
ResultModel(adx=62, sma=9, over=5, numberOfPositions=18, result=1.2281430269171670827191459588439)
ResultModel(adx=67, sma=9, over=8, numberOfPositions=15, result=1.2277516953321005804869016354237)
ResultModel(adx=67, sma=9, over=9, numberOfPositions=15, result=1.2277516953321005804869016354237)
ResultModel(adx=70, sma=8, over=9, numberOfPositions=15, result=1.2264474715316486630784077764116)
ResultModel(adx=62, sma=7, over=6, numberOfPositions=20, result=1.2245943899061248002695458153899)
ResultModel(adx=62, sma=8, over=6, numberOfPositions=20, result=1.2245943899061248002695458153899)
ResultModel(adx=63, sma=7, over=6, numberOfPositions=20, result=1.2230154836795450178338306201998)
ResultModel(adx=63, sma=8, over=6, numberOfPositions=20, result=1.2230154836795450178338306201998)
ResultModel(adx=61, sma=9, over=1, numberOfPositions=19, result=1.2212717697291004334753443930590)
ResultModel(adx=61, sma=9, over=2, numberOfPositions=19, result=1.2212717697291004334753443930590)
ResultModel(adx=61, sma=9, over=3, numberOfPositions=19, result=1.2212717697291004334753443930590)
ResultModel(adx=61, sma=9, over=4, numberOfPositions=19, result=1.2212717697291004334753443930590)
ResultModel(adx=61, sma=9, over=5, numberOfPositions=19, result=1.2212717697291004334753443930590)
