ResultModel(adx=18, sma=8, over=1, numberOfPositions=28, result=1.2162254394872954008307294482178)
ResultModel(adx=18, sma=8, over=2, numberOfPositions=28, result=1.2162254394872954008307294482178)
ResultModel(adx=18, sma=8, over=3, numberOfPositions=28, result=1.2162254394872954008307294482178)
ResultModel(adx=18, sma=8, over=4, numberOfPositions=28, result=1.2162254394872954008307294482178)
ResultModel(adx=18, sma=8, over=5, numberOfPositions=28, result=1.2162254394872954008307294482178)
ResultModel(adx=18, sma=8, over=6, numberOfPositions=28, result=1.2162254394872954008307294482178)
ResultModel(adx=18, sma=8, over=7, numberOfPositions=28, result=1.2162254394872954008307294482178)
ResultModel(adx=18, sma=8, over=8, numberOfPositions=28, result=1.2162254394872954008307294482178)
ResultModel(adx=18, sma=7, over=1, numberOfPositions=30, result=1.2146635792174987403107627618458)
ResultModel(adx=18, sma=7, over=2, numberOfPositions=30, result=1.2146635792174987403107627618458)
ResultModel(adx=18, sma=7, over=3, numberOfPositions=30, result=1.2146635792174987403107627618458)
ResultModel(adx=18, sma=7, over=4, numberOfPositions=30, result=1.2146635792174987403107627618458)
ResultModel(adx=18, sma=7, over=5, numberOfPositions=30, result=1.2146635792174987403107627618458)
ResultModel(adx=18, sma=7, over=6, numberOfPositions=30, result=1.2146635792174987403107627618458)
ResultModel(adx=18, sma=7, over=7, numberOfPositions=30, result=1.2146635792174987403107627618458)
ResultModel(adx=18, sma=7, over=8, numberOfPositions=30, result=1.2146635792174987403107627618458)
ResultModel(adx=17, sma=2, over=9, numberOfPositions=31, result=1.2131408416517119556753085409109)
ResultModel(adx=16, sma=8, over=1, numberOfPositions=29, result=1.2129298567336928792558190810704)
ResultModel(adx=16, sma=8, over=2, numberOfPositions=29, result=1.2129298567336928792558190810704)
ResultModel(adx=16, sma=8, over=3, numberOfPositions=29, result=1.2129298567336928792558190810704)
ResultModel(adx=16, sma=8, over=4, numberOfPositions=29, result=1.2129298567336928792558190810704)
ResultModel(adx=16, sma=8, over=5, numberOfPositions=29, result=1.2129298567336928792558190810704)
ResultModel(adx=16, sma=8, over=6, numberOfPositions=29, result=1.2129298567336928792558190810704)
ResultModel(adx=16, sma=8, over=7, numberOfPositions=29, result=1.2129298567336928792558190810704)
ResultModel(adx=16, sma=8, over=8, numberOfPositions=29, result=1.2129298567336928792558190810704)
ResultModel(adx=16, sma=8, over=9, numberOfPositions=29, result=1.2129298567336928792558190810704)
ResultModel(adx=16, sma=7, over=1, numberOfPositions=31, result=1.2113722286067223453582550985853)
ResultModel(adx=16, sma=7, over=2, numberOfPositions=31, result=1.2113722286067223453582550985853)
ResultModel(adx=16, sma=7, over=3, numberOfPositions=31, result=1.2113722286067223453582550985853)
ResultModel(adx=16, sma=7, over=4, numberOfPositions=31, result=1.2113722286067223453582550985853)
ResultModel(adx=16, sma=7, over=5, numberOfPositions=31, result=1.2113722286067223453582550985853)
ResultModel(adx=16, sma=7, over=6, numberOfPositions=31, result=1.2113722286067223453582550985853)
ResultModel(adx=16, sma=7, over=7, numberOfPositions=31, result=1.2113722286067223453582550985853)
ResultModel(adx=16, sma=7, over=8, numberOfPositions=31, result=1.2113722286067223453582550985853)
ResultModel(adx=16, sma=7, over=9, numberOfPositions=31, result=1.2113722286067223453582550985853)
ResultModel(adx=15, sma=8, over=1, numberOfPositions=35, result=1.2084868491200289570669199208862)
ResultModel(adx=15, sma=8, over=2, numberOfPositions=35, result=1.2084868491200289570669199208862)
ResultModel(adx=15, sma=8, over=3, numberOfPositions=35, result=1.2084868491200289570669199208862)
ResultModel(adx=15, sma=8, over=4, numberOfPositions=35, result=1.2084868491200289570669199208862)
ResultModel(adx=15, sma=8, over=5, numberOfPositions=35, result=1.2084868491200289570669199208862)
ResultModel(adx=15, sma=8, over=6, numberOfPositions=35, result=1.2084868491200289570669199208862)
ResultModel(adx=15, sma=8, over=7, numberOfPositions=35, result=1.2084868491200289570669199208862)
ResultModel(adx=15, sma=8, over=8, numberOfPositions=35, result=1.2084868491200289570669199208862)
ResultModel(adx=15, sma=8, over=9, numberOfPositions=35, result=1.2084868491200289570669199208862)
ResultModel(adx=15, sma=7, over=1, numberOfPositions=37, result=1.2069349266433802180032993086353)
ResultModel(adx=15, sma=7, over=2, numberOfPositions=37, result=1.2069349266433802180032993086353)
ResultModel(adx=15, sma=7, over=3, numberOfPositions=37, result=1.2069349266433802180032993086353)
ResultModel(adx=15, sma=7, over=4, numberOfPositions=37, result=1.2069349266433802180032993086353)
ResultModel(adx=15, sma=7, over=5, numberOfPositions=37, result=1.2069349266433802180032993086353)
ResultModel(adx=15, sma=7, over=6, numberOfPositions=37, result=1.2069349266433802180032993086353)
ResultModel(adx=15, sma=7, over=7, numberOfPositions=37, result=1.2069349266433802180032993086353)
ResultModel(adx=15, sma=7, over=8, numberOfPositions=37, result=1.2069349266433802180032993086353)
ResultModel(adx=15, sma=7, over=9, numberOfPositions=37, result=1.2069349266433802180032993086353)
ResultModel(adx=18, sma=6, over=1, numberOfPositions=32, result=1.2063889274296775347155749948169)
ResultModel(adx=18, sma=6, over=2, numberOfPositions=32, result=1.2063889274296775347155749948169)
ResultModel(adx=18, sma=6, over=3, numberOfPositions=32, result=1.2063889274296775347155749948169)
ResultModel(adx=18, sma=6, over=4, numberOfPositions=32, result=1.2063889274296775347155749948169)
ResultModel(adx=18, sma=6, over=5, numberOfPositions=32, result=1.2063889274296775347155749948169)
ResultModel(adx=18, sma=6, over=6, numberOfPositions=32, result=1.2063889274296775347155749948169)
ResultModel(adx=18, sma=6, over=7, numberOfPositions=32, result=1.2063889274296775347155749948169)
ResultModel(adx=18, sma=6, over=8, numberOfPositions=32, result=1.2063889274296775347155749948169)
ResultModel(adx=18, sma=9, over=1, numberOfPositions=27, result=1.2052517372763527876206233056749)
ResultModel(adx=18, sma=9, over=2, numberOfPositions=27, result=1.2052517372763527876206233056749)
ResultModel(adx=18, sma=9, over=3, numberOfPositions=27, result=1.2052517372763527876206233056749)
ResultModel(adx=18, sma=9, over=4, numberOfPositions=27, result=1.2052517372763527876206233056749)
ResultModel(adx=18, sma=9, over=5, numberOfPositions=27, result=1.2052517372763527876206233056749)
ResultModel(adx=18, sma=9, over=6, numberOfPositions=27, result=1.2052517372763527876206233056749)
ResultModel(adx=18, sma=9, over=7, numberOfPositions=27, result=1.2052517372763527876206233056749)
ResultModel(adx=18, sma=9, over=8, numberOfPositions=27, result=1.2052517372763527876206233056749)
ResultModel(adx=16, sma=6, over=1, numberOfPositions=33, result=1.2044459382618954674103083083565)
ResultModel(adx=16, sma=6, over=2, numberOfPositions=33, result=1.2044459382618954674103083083565)
ResultModel(adx=16, sma=6, over=3, numberOfPositions=33, result=1.2044459382618954674103083083565)
ResultModel(adx=16, sma=6, over=4, numberOfPositions=33, result=1.2044459382618954674103083083565)
ResultModel(adx=16, sma=6, over=5, numberOfPositions=33, result=1.2044459382618954674103083083565)
ResultModel(adx=16, sma=6, over=6, numberOfPositions=33, result=1.2044459382618954674103083083565)
ResultModel(adx=16, sma=6, over=7, numberOfPositions=33, result=1.2044459382618954674103083083565)
ResultModel(adx=16, sma=6, over=8, numberOfPositions=33, result=1.2044459382618954674103083083565)
ResultModel(adx=16, sma=6, over=9, numberOfPositions=33, result=1.2044459382618954674103083083565)
ResultModel(adx=18, sma=5, over=1, numberOfPositions=32, result=1.2043703143668132538755537411595)
ResultModel(adx=18, sma=5, over=2, numberOfPositions=32, result=1.2043703143668132538755537411595)
ResultModel(adx=18, sma=5, over=3, numberOfPositions=32, result=1.2043703143668132538755537411595)
ResultModel(adx=18, sma=5, over=4, numberOfPositions=32, result=1.2043703143668132538755537411595)
ResultModel(adx=18, sma=5, over=5, numberOfPositions=32, result=1.2043703143668132538755537411595)
ResultModel(adx=18, sma=5, over=6, numberOfPositions=32, result=1.2043703143668132538755537411595)
ResultModel(adx=18, sma=5, over=7, numberOfPositions=32, result=1.2043703143668132538755537411595)
ResultModel(adx=18, sma=5, over=8, numberOfPositions=32, result=1.2043703143668132538755537411595)
ResultModel(adx=19, sma=2, over=9, numberOfPositions=32, result=1.2028850830116794610011281762987)
ResultModel(adx=16, sma=9, over=1, numberOfPositions=28, result=1.2019858897532226673841747196736)
ResultModel(adx=16, sma=9, over=2, numberOfPositions=28, result=1.2019858897532226673841747196736)
ResultModel(adx=16, sma=9, over=3, numberOfPositions=28, result=1.2019858897532226673841747196736)
ResultModel(adx=16, sma=9, over=4, numberOfPositions=28, result=1.2019858897532226673841747196736)
ResultModel(adx=16, sma=9, over=5, numberOfPositions=28, result=1.2019858897532226673841747196736)
ResultModel(adx=16, sma=9, over=6, numberOfPositions=28, result=1.2019858897532226673841747196736)
ResultModel(adx=16, sma=9, over=7, numberOfPositions=28, result=1.2019858897532226673841747196736)
ResultModel(adx=16, sma=9, over=8, numberOfPositions=28, result=1.2019858897532226673841747196736)
ResultModel(adx=16, sma=9, over=9, numberOfPositions=28, result=1.2019858897532226673841747196736)
ResultModel(adx=19, sma=2, over=1, numberOfPositions=33, result=1.2014462252568808013587823291979)
ResultModel(adx=19, sma=2, over=2, numberOfPositions=33, result=1.2014462252568808013587823291979)
ResultModel(adx=19, sma=2, over=3, numberOfPositions=33, result=1.2014462252568808013587823291979)
ResultModel(adx=19, sma=2, over=4, numberOfPositions=33, result=1.2014462252568808013587823291979)
ResultModel(adx=19, sma=2, over=5, numberOfPositions=33, result=1.2014462252568808013587823291979)
ResultModel(adx=19, sma=2, over=6, numberOfPositions=33, result=1.2014462252568808013587823291979)
ResultModel(adx=19, sma=2, over=7, numberOfPositions=33, result=1.2014462252568808013587823291979)
ResultModel(adx=19, sma=2, over=8, numberOfPositions=33, result=1.2014462252568808013587823291979)
ResultModel(adx=15, sma=6, over=1, numberOfPositions=39, result=1.2012352428029883761941992582021)
ResultModel(adx=15, sma=6, over=2, numberOfPositions=39, result=1.2012352428029883761941992582021)
ResultModel(adx=15, sma=6, over=3, numberOfPositions=39, result=1.2012352428029883761941992582021)
ResultModel(adx=15, sma=6, over=4, numberOfPositions=39, result=1.2012352428029883761941992582021)
ResultModel(adx=15, sma=6, over=5, numberOfPositions=39, result=1.2012352428029883761941992582021)
ResultModel(adx=15, sma=6, over=6, numberOfPositions=39, result=1.2012352428029883761941992582021)
ResultModel(adx=15, sma=6, over=7, numberOfPositions=39, result=1.2012352428029883761941992582021)
ResultModel(adx=15, sma=6, over=8, numberOfPositions=39, result=1.2012352428029883761941992582021)
ResultModel(adx=15, sma=6, over=9, numberOfPositions=39, result=1.2012352428029883761941992582021)
ResultModel(adx=17, sma=8, over=1, numberOfPositions=29, result=1.1998210436054698439228249607738)
ResultModel(adx=17, sma=8, over=2, numberOfPositions=29, result=1.1998210436054698439228249607738)
ResultModel(adx=17, sma=8, over=3, numberOfPositions=29, result=1.1998210436054698439228249607738)
ResultModel(adx=17, sma=8, over=4, numberOfPositions=29, result=1.1998210436054698439228249607738)
ResultModel(adx=17, sma=8, over=5, numberOfPositions=29, result=1.1998210436054698439228249607738)
ResultModel(adx=17, sma=8, over=6, numberOfPositions=29, result=1.1998210436054698439228249607738)
ResultModel(adx=17, sma=8, over=7, numberOfPositions=29, result=1.1998210436054698439228249607738)
ResultModel(adx=17, sma=8, over=8, numberOfPositions=29, result=1.1998210436054698439228249607738)
