ResultModel(longCCI=190, shortCCI=25, plus=110, minus=-115, numberOfPositions=1, result=1.2206088294037971486948736196882)
ResultModel(longCCI=190, shortCCI=25, plus=110, minus=-110, numberOfPositions=1, result=1.2206088294037971486948736196882)
ResultModel(longCCI=190, shortCCI=25, plus=110, minus=-105, numberOfPositions=1, result=1.2206088294037971486948736196882)
ResultModel(longCCI=190, shortCCI=25, plus=110, minus=-100, numberOfPositions=1, result=1.2206088294037971486948736196882)
ResultModel(longCCI=195, shortCCI=25, plus=100, minus=-120, numberOfPositions=1, result=1.2206088294037971486948736196882)
ResultModel(longCCI=195, shortCCI=25, plus=100, minus=-115, numberOfPositions=1, result=1.2206088294037971486948736196882)
ResultModel(longCCI=195, shortCCI=25, plus=100, minus=-110, numberOfPositions=1, result=1.2206088294037971486948736196882)
ResultModel(longCCI=195, shortCCI=25, plus=105, minus=-120, numberOfPositions=1, result=1.2206088294037971486948736196882)
ResultModel(longCCI=195, shortCCI=25, plus=105, minus=-115, numberOfPositions=1, result=1.2206088294037971486948736196882)
ResultModel(longCCI=195, shortCCI=25, plus=105, minus=-110, numberOfPositions=1, result=1.2206088294037971486948736196882)
ResultModel(longCCI=195, shortCCI=25, plus=105, minus=-105, numberOfPositions=1, result=1.2206088294037971486948736196882)
ResultModel(longCCI=195, shortCCI=25, plus=105, minus=-100, numberOfPositions=1, result=1.2206088294037971486948736196882)
ResultModel(longCCI=195, shortCCI=25, plus=110, minus=-120, numberOfPositions=1, result=1.2206088294037971486948736196882)
ResultModel(longCCI=195, shortCCI=25, plus=110, minus=-115, numberOfPositions=1, result=1.2206088294037971486948736196882)
ResultModel(longCCI=195, shortCCI=25, plus=110, minus=-110, numberOfPositions=1, result=1.2206088294037971486948736196882)
ResultModel(longCCI=195, shortCCI=25, plus=110, minus=-105, numberOfPositions=1, result=1.2206088294037971486948736196882)
ResultModel(longCCI=195, shortCCI=25, plus=110, minus=-100, numberOfPositions=1, result=1.2206088294037971486948736196882)
ResultModel(longCCI=200, shortCCI=25, plus=100, minus=-120, numberOfPositions=1, result=1.2206088294037971486948736196882)
ResultModel(longCCI=200, shortCCI=25, plus=100, minus=-115, numberOfPositions=1, result=1.2206088294037971486948736196882)
ResultModel(longCCI=200, shortCCI=25, plus=100, minus=-110, numberOfPositions=1, result=1.2206088294037971486948736196882)
ResultModel(longCCI=200, shortCCI=25, plus=105, minus=-120, numberOfPositions=1, result=1.2206088294037971486948736196882)
ResultModel(longCCI=200, shortCCI=25, plus=105, minus=-115, numberOfPositions=1, result=1.2206088294037971486948736196882)
ResultModel(longCCI=200, shortCCI=25, plus=105, minus=-110, numberOfPositions=1, result=1.2206088294037971486948736196882)
ResultModel(longCCI=200, shortCCI=25, plus=105, minus=-105, numberOfPositions=1, result=1.2206088294037971486948736196882)
ResultModel(longCCI=200, shortCCI=25, plus=105, minus=-100, numberOfPositions=1, result=1.2206088294037971486948736196882)
ResultModel(longCCI=200, shortCCI=25, plus=110, minus=-120, numberOfPositions=1, result=1.2206088294037971486948736196882)
ResultModel(longCCI=200, shortCCI=25, plus=110, minus=-115, numberOfPositions=1, result=1.2206088294037971486948736196882)
ResultModel(longCCI=200, shortCCI=25, plus=110, minus=-110, numberOfPositions=1, result=1.2206088294037971486948736196882)
ResultModel(longCCI=200, shortCCI=25, plus=110, minus=-105, numberOfPositions=1, result=1.2206088294037971486948736196882)
ResultModel(longCCI=200, shortCCI=25, plus=110, minus=-100, numberOfPositions=1, result=1.2206088294037971486948736196882)
ResultModel(longCCI=100, shortCCI=25, plus=100, minus=-150, numberOfPositions=0, result=1)
ResultModel(longCCI=100, shortCCI=25, plus=100, minus=-145, numberOfPositions=0, result=1)
ResultModel(longCCI=100, shortCCI=25, plus=100, minus=-140, numberOfPositions=0, result=1)
ResultModel(longCCI=100, shortCCI=25, plus=100, minus=-135, numberOfPositions=0, result=1)
ResultModel(longCCI=100, shortCCI=25, plus=100, minus=-130, numberOfPositions=0, result=1)
ResultModel(longCCI=100, shortCCI=25, plus=100, minus=-125, numberOfPositions=0, result=1)
ResultModel(longCCI=100, shortCCI=25, plus=100, minus=-120, numberOfPositions=0, result=1)
ResultModel(longCCI=100, shortCCI=25, plus=100, minus=-115, numberOfPositions=0, result=1)
ResultModel(longCCI=100, shortCCI=25, plus=100, minus=-110, numberOfPositions=0, result=1)
ResultModel(longCCI=100, shortCCI=25, plus=100, minus=-105, numberOfPositions=0, result=1)
ResultModel(longCCI=100, shortCCI=25, plus=100, minus=-100, numberOfPositions=0, result=1)
ResultModel(longCCI=100, shortCCI=25, plus=105, minus=-150, numberOfPositions=0, result=1)
ResultModel(longCCI=100, shortCCI=25, plus=105, minus=-145, numberOfPositions=0, result=1)
ResultModel(longCCI=100, shortCCI=25, plus=105, minus=-140, numberOfPositions=0, result=1)
ResultModel(longCCI=100, shortCCI=25, plus=105, minus=-135, numberOfPositions=0, result=1)
ResultModel(longCCI=100, shortCCI=25, plus=105, minus=-130, numberOfPositions=0, result=1)
ResultModel(longCCI=100, shortCCI=25, plus=105, minus=-125, numberOfPositions=0, result=1)
ResultModel(longCCI=100, shortCCI=25, plus=105, minus=-120, numberOfPositions=0, result=1)
