ResultModel(adx=139, sma=7, over=8, numberOfPositions=3, result=1.2871520042811736081359535505743)
ResultModel(adx=139, sma=8, over=8, numberOfPositions=3, result=1.2871520042811736081359535505743)
ResultModel(adx=139, sma=9, over=8, numberOfPositions=3, result=1.2871520042811736081359535505743)
ResultModel(adx=140, sma=7, over=8, numberOfPositions=3, result=1.2871520042811736081359535505743)
ResultModel(adx=140, sma=8, over=8, numberOfPositions=3, result=1.2871520042811736081359535505743)
ResultModel(adx=140, sma=9, over=8, numberOfPositions=3, result=1.2871520042811736081359535505743)
ResultModel(adx=142, sma=9, over=8, numberOfPositions=4, result=1.2840002311089649601682693276523)
ResultModel(adx=141, sma=7, over=8, numberOfPositions=4, result=1.2791085341685667852546232264395)
ResultModel(adx=141, sma=8, over=8, numberOfPositions=4, result=1.2791085341685667852546232264395)
ResultModel(adx=141, sma=9, over=8, numberOfPositions=4, result=1.2791085341685667852546232264395)
ResultModel(adx=136, sma=7, over=8, numberOfPositions=4, result=1.2760654819374562075022944833489)
ResultModel(adx=136, sma=8, over=8, numberOfPositions=4, result=1.2760654819374562075022944833489)
ResultModel(adx=136, sma=9, over=8, numberOfPositions=4, result=1.2760654819374562075022944833489)
ResultModel(adx=146, sma=8, over=8, numberOfPositions=4, result=1.2742605572193471975776802091396)
ResultModel(adx=146, sma=9, over=8, numberOfPositions=4, result=1.2742605572193471975776802091396)
ResultModel(adx=145, sma=7, over=8, numberOfPositions=4, result=1.2730135050726022848398372836680)
ResultModel(adx=148, sma=8, over=8, numberOfPositions=4, result=1.2724267543256676603021002007311)
ResultModel(adx=148, sma=9, over=8, numberOfPositions=4, result=1.2724267543256676603021002007311)
ResultModel(adx=149, sma=8, over=8, numberOfPositions=4, result=1.2724267543256676603021002007311)
ResultModel(adx=149, sma=9, over=8, numberOfPositions=4, result=1.2724267543256676603021002007311)
ResultModel(adx=147, sma=8, over=8, numberOfPositions=4, result=1.2709889839817968493865046072838)
ResultModel(adx=147, sma=9, over=8, numberOfPositions=4, result=1.2709889839817968493865046072838)
ResultModel(adx=137, sma=7, over=8, numberOfPositions=4, result=1.2697026030074672508431900614491)
